Entry ID,Order,Entry Type  ,Visibility,Categories                                         ,Family Name,Honorific Prefix,First Name,Middle Name,Last Name,Honorific Suffix,Title,Organization                                            ,Department,Contact First Name,Contact Last Name,Home Address | Line One,Home Address | Line Two         ,Home Address | Line Three,Home Address | Line Four,Home Address | District,Home Address | County,Home Address | City,Home Address | State,Home Address | Zipcode,Home Address | Country,Home Address | Latitude,Home Address | Longitude,Home Address | Visibility,Other Address | Line One,Other Address | Line Two,Other Address | Line Three,Other Address | Line Four,Other Address | District,Other Address | County,Other Address | City,Other Address | State,Other Address | Zipcode,Other Address | Country,Other Address | Latitude,Other Address | Longitude,Other Address | Visibility,Work Address | Line One                       ,Work Address | Line Two,Work Address | Line Three,Work Address | Line Four,Work Address | District,Work Address | County,Work Address | City,Work Address | State,Work Address | Zipcode,Work Address | Country,Work Address | Latitude,Work Address | Longitude,Work Address | Visibility,Phone | Cell Phone | Number,Phone | Cell Phone | Visibility,Phone | Home Phone | Number,Phone | Home Phone | Visibility,Phone | Work Phone | Number,Phone | Work Phone | Visibility,Email | Personal Email | Address    ,Email | Personal Email | Visibility,Email | Work Email | Address        ,Email | Work Email | Visibility,Social Network | Facebook | URL                              ,Social Network | Facebook | Visibility,Social Network | Instagram | URL      ,Social Network | Instagram | Visibility,Social Network | Twitter | URL     ,Social Network | Twitter | Visibility,Im Uid,Im Visibility,Link | Website | URL                      ,Link | Website | Title                ,Link | Website | Visibility,Dates Date,Dates Visibility,Biography                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Notes                                                                                                                                                                                      ,Photo URL                                                                                                                                                        ,Logo URL
3       ,0    ,organization,public    ,Joiners &amp; Cabinetmakers                        ,           ,                ,          ,           ,         ,                ,     ,John Andrews Cabinetmakers & Joiners                    ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,7765341616                 ,public                         ,                           ,                               ,                           ,                               ,johnandrews123@btinternet.com       ,public                             ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.johnandrewsjoinery.co.uk       ,www.johnandrewsjoinery.co.uk          ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/john-andrews-cabinetmakers-joiners/Screen-Shot-2017-02-02-at-11.10.52.png.png                 ,
4       ,0    ,organization,public    ,Cleaning Services                                  ,           ,                ,          ,           ,         ,                ,     ,Clean Image                                             ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,7867576826                 ,public                         ,01736 757812               ,public                         ,                           ,                               ,                                    ,                                   ,ian@cleanimage-ipc.co.uk            ,public                         ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.cleanimage-ipc.co.uk           ,www.cleanimage-ipc.co.uk              ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/clean-image/Screen-Shot-2017-02-02-at-11.11.13.png.png                                        ,
5       ,0    ,organization,public    ,"Conservatories,Windows,Doors"                     ,           ,                ,          ,           ,         ,                ,     ,St. Ives Windows                                        ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,01736 798964               ,public                         ,                           ,                               ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.stiveswindows.co.uk            ,www.stiveswindows.co.uk               ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/st-ives-windows/Screen-Shot-2017-02-02-at-11.12.03.png.png                                    ,
6       ,0    ,organization,public    ,"Clubs &amp; Societies,Health"                     ,           ,                ,          ,           ,         ,                ,     ,St Ives Breathers Club                                  ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,St Anta Church Hall     ,Porthrepta Road         ,                          ,                         ,                        ,Cornwall              ,Carbis Bay          ,                     ,TR26 2LD               ,                       ,50.1946602              ,-5.4617139               ,public                    ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,01736 756729               ,public                         ,                           ,                               ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,                                          ,                                      ,                           ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/st-ives-breathers-club/Screen-Shot-2017-02-02-at-11.12.42.png.png                             ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/st-ives-breathers-club/Screen-Shot-2017-02-02-at-11.12.42.png.png
7       ,0    ,organization,public    ,"Community,Transport"                              ,           ,                ,          ,           ,         ,                ,     ,St Ives Community Transport                             ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,07572 586675               ,public                         ,                           ,                               ,01872 266886               ,public                         ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,                                          ,                                      ,                           ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/st-ives-community-transport/Screen-Shot-2017-02-02-at-11.12.55.png.png                        ,
8       ,0    ,organization,public    ,"Courses,Events"                                   ,           ,                ,          ,           ,         ,                ,     ,Barnoon Workshop                                        ,          ,                  ,                 ,Clodgey View           ,                                ,                         ,                        ,                       ,                     ,St Ives            ,                    ,TR26 IJG              ,                      ,50.213887              ,-5.482522               ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,                           ,                               ,                           ,                               ,                                    ,                                   ,                                    ,                               ,https://www.facebook.com/barnoonworkshop/                    ,public                                ,                                      ,                                       ,https://twitter.com/BarnoonWorkshop,public                               ,      ,             ,http://www.barnoonworkshop.co.uk          ,www.barnoonworkshop.co.uk             ,public                     ,          ,                ,"Creative Courses
From half day craft sessions to 4 week courses! Sculpture, Painting, Guitar, Drawing, and
more. Also private craft parties! Take a look at our website for details!"                                                                                                                                                                                                                                                                                                                                                                                                           ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/barnoon-workshop/Screen-Shot-2017-05-04-at-18.15.40.png.png                                   ,
9       ,0    ,organization,public    ,"Laundry,Linen Hire"                               ,           ,                ,          ,           ,         ,                ,     ,Star Linen Hire & Laundry Services Ltd                  ,          ,                  ,                 ,Unit 4b                ,Penbeagle Industrial Estate     ,                         ,                        ,                       ,                     ,St Ives            ,                    ,TR26 2JH              ,                      ,0                      ,0                       ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,01736 791685               ,public                         ,                           ,                               ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.starlinenhirestives.co.uk      ,www.starlinenhirestives.co.uk         ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/star-linen-hire-laundry-services-ltd/Screen-Shot-2017-02-02-at-11.13.15.png.png               ,
10      ,0    ,organization,public    ,Equipment Hire                                     ,           ,                ,          ,           ,         ,                ,     ,Star Equipment Hire                                     ,          ,                  ,                 ,Unit 4c                ,Penbeagle Industrial Estate     ,                         ,                        ,                       ,                     ,St Ives            ,                    ,TR26 2JH              ,                      ,50.2037101             ,-5.4929357              ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,01736 791685               ,public                         ,                           ,                               ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.stiveshire.co.uk               ,www.stiveshire.co.uk                  ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/star-equipment-hire/Screen-Shot-2017-02-02-at-11.13.15.png.png                                ,
11      ,0    ,organization,public    ,Window Cleaners                                    ,           ,                ,          ,           ,         ,                ,     ,David Morris Window Cleaning                            ,          ,                  ,                 ,                       ,                                ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,7894204323                 ,public                         ,01736 756394               ,public                         ,                           ,                               ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.davidmorriswindowcleaning.co.uk,www.davidmorriswindowcleaning.co.uk   ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/david-morris-window-cleaning/Screen-Shot-2017-02-02-at-11.13.54.png.png                       ,
12      ,0    ,organization,public    ,"Restaurants,Takeaway Food"                        ,           ,                ,          ,           ,         ,                ,     ,Rajpoot Indian Restaurant and Takeaway                  ,          ,                  ,                 ,5a Gabriel Street      ,                                ,                         ,                        ,                       ,                     ,St Ives            ,                    ,TR26 2LU              ,                      ,50.2112346             ,-5.4813006              ,public                   ,                        ,                        ,                          ,                         ,                        ,                      ,                    ,                     ,                       ,                       ,                        ,                         ,                          ,                                              ,                       ,                         ,                        ,                       ,                     ,                   ,                    ,                      ,                      ,                       ,                        ,                         ,                           ,                               ,1736795307                 ,public                         ,                           ,                               ,                                    ,                                   ,                                    ,                               ,                                                             ,                                      ,                                      ,                                       ,                                   ,                                     ,      ,             ,http://www.rajpootstives.co.uk            ,www.rajpootstives.co.uk               ,public                     ,          ,                ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                           ,http://www.stiveslocal.co.uk/wp-content/uploads/connections-images/rajpoot-indian-restaurant-and-takeaway/Screen-Shot-2017-02-02-at-11.14.15.png.png             ,
